Gross annual production (GWh), 252.280, 262.966, 270.890, 280.125
Coal, 76.358, 77.393, 66.006, 71.833
CCGT, 28.974, 48.885 63.506, 68.139
Trad oil/gas, 7.697, 10.013, 5.905, 2.397
Nuclear, 63.606, 57.539, 60.126, 55.102
Trad. Hydro, 29.777, 19.169, 25.330, 26.352
Renewable, 23.387, 28.142, 30.782, 35.729
Others, 22.482, 21.824, 19.236, 20.574
