col,rho_2sls,se_2sls,rho_dml_linear,se_dml_linear,abs_diff,n
1,0.8710528059500575,0.18114204474888496,0.8501482817517302,0.1812515501334071,0.020904524198327334,16186
2,0.8559191439659284,0.1814991530075234,0.8699650738270144,0.18208722405154507,0.014045929861085993,16186
3,0.0,0.0,0.8464247791215705,0.17570744788043802,0.8464247791215705,16186
4,0.0,0.0,0.793540368242906,0.1699525265220249,0.793540368242906,16186
5,0.0,0.0,0.9015189662124535,0.1727774598877468,0.9015189662124535,16186
